Title,Location,Price,Area
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        House 1e Jerichostraat 57 A                            ,            3061 GC Rotterdam (Kralingen West)        ,"                €2,500 per month            ",110 m²
                        Studio Nieuwezijds Voorburgwal                            ,            1012 RD Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,350 per month            ",25 m²
                        Apartment Mathenesserdijk                            ,            3026 GL Rotterdam (Tussendijken)        ,"                €2,500 per month            ",95 m²
                        Apartment Paterswoldseweg                            ,            9728 AE Groningen (Corpus den Hoorn)        ,                €895 per month            ,60 m²
                        Apartment Johan Hofmanstraat                            ,            1069 KE Amsterdam (Osdorp-Midden)        ,"                €2,250 per month            ",96 m²
                        Apartment Vrijheidslaan                            ,            2806 KD Gouda (Oosterwei)        ,"                €1,095 per month            ",70 m²
                        House Tuinstraat                            ,            2801 ZR Gouda (De Baan e.o.)        ,"                €1,495 per month            ",140 m²
                        Apartment Spoorstraat                            ,            2801 BA Gouda (Nieuwe Park Oost)        ,                €875 per month            ,42 m²
                        Apartment Admiraal de Ruyterlaan                            ,            1215 LX Hilversum (Zeeheldenkwartier)        ,"                €1,425 per month            ",83 m²
                        Apartment Rembrandtstraat                            ,            3202 EP Spijkenisse (Schiekamp-Noord)        ,"                €1,249 per month            ",63 m²
                        Apartment Nederlandplein                            ,            5628 AG Eindhoven (Woenselse Heide)        ,"                €1,600 per month            ",88 m²
                        Apartment Carel Willinkstraat                            ,            3544 MA Utrecht (Het Zand-West)        ,"                €2,250 per month            ",95 m²
                        Apartment Wilhelminasingel                            ,            6221 BK Maastricht (Wyck)        ,"                €1,065 per month            ",50 m²
                        Apartment Waddenweg                            ,            2134 XL Hoofddorp (Hoofddorp Floriande West)        ,"                €1,295 per month            ",50 m²
                        House Piet Zwarthof 63                            ,            1087 AX Amsterdam (IJburg West)        ,"                €2,500 per month            ",120 m²
                        Apartment Karnemelkstraat                            ,            4811 KJ Breda (City)        ,"                €1,195 per month            ",60 m²
                        Apartment Marktstraat                            ,            4381 EV Vlissingen (Oude Binnenstad)        ,"                €1,275 per month            ",108 m²
                        House Riouwstraat 8                            ,            7556 AM Hengelo (Weidedorp)        ,"                €1,300 per month            ",90 m²
                        Apartment Kromme Leimuidenstraat                            ,            1059 EL Amsterdam (Hoofddorppleinbuurt)        ,"                €2,300 per month            ",57 m²
                        Apartment Kerkstraat                            ,            9601 AK Hoogezand (Stadshart-Noord)        ,                €763 per month            ,66 m²
                        House Dommelhoefstraat                            ,            5613 EM Eindhoven (Villapark)        ,"                €2,100 per month            ",145 m²
                        Studio Jan van Riebeecklaan                            ,            5642 MD Eindhoven (Doornakkers-Oost)        ,                €595 per month            ,25 m²
                        Apartment Schalkeroord                            ,            3079 WB Rotterdam (Groot IJsselmonde)        ,"                €1,995 per month            ",80 m²
                        Apartment Grote Houtstraat 20 F                            ,            2011 SN Haarlem (Binnenstad)        ,"                €1,400 per month            ",81 m²
                        Apartment Adenauerlaan                            ,            3527 RA Utrecht (Kanaleneiland-Noord)        ,"                €1,450 per month            ",55 m²
                        Room Tomatenstraat                            ,            2321 HH Leiden (Cronestein)        ,                €470 per month            ,25 m²
                        Apartment St.-Janshovenstraat                            ,            3572 RB Utrecht (Wittevrouwen)        ,"                €1,400 per month            ",42 m²
                        Apartment Gedempte Gracht                            ,            1506 CG Zaandam (Russische buurt)        ,"                €1,570 per month            ",98 m²
                        Apartment Volderhof                            ,            5611 AK Eindhoven (Binnenstad)        ,"                €1,450 per month            ",55 m²
                        House Driehuizerweg 330                            ,            6525 PN Nijmegen (Brakkenstein)        ,"                €1,750 per month            ",86 m²
                        Apartment Mgr. Aengenentlaan                            ,            2361 GB Warmond (Kloosterland-Endepoel)        ,"                €1,083 per month            ",52 m²
                        House Schoolpad 4                            ,            1111 CS Diemen (Centrum West)        ,"                €2,250 per month            ",104 m²
                        House Gein-Zuid 12                            ,            1391 GT Abcoude (Abcoude Buitengebied)        ,"                €3,000 per month            ",190 m²
                        Apartment Herengracht                            ,            1015 BG Amsterdam (Grachtengordel-West)        ,"                €2,500 per month            ",78 m²
                        Apartment Heemraadstraat                            ,            6525 TH Nijmegen (Brakkenstein)        ,"                €1,367 per month            ",73 m²
                        Studio Graviuspad                            ,"            5641 WK Eindhoven (Muschberg, Geestenberg)        ",                €775 per month            ,12 m²
                        Apartment Oostenburgervoorstraat 12                            ,            1018 MR Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,800 per month            ",60 m²
                        Apartment Willem van Hillegaersbergstraat                            ,            3051 RB Rotterdam (Hillegersberg Zuid)        ,"                €1,150 per month            ",48 m²
                        House Spinhuisweg                            ,            4336 JA Middelburg (Reijershove)        ,"                €1,195 per month            ",113 m²
                        Apartment Boulevard Bankert                            ,            4382 AC Vlissingen (Boulevards Bankert en Evertsen)        ,"                €1,325 per month            ",85 m²
                        Apartment Vlaardingerdijk 270                            ,            3117 ZS Schiedam (Distillateursbuurt)        ,                €627 per month            ,60 m²
                        House Vrijheidslaan 5 a                            ,            1079 KA Amsterdam (Rijnbuurt)        ,"                €3,150 per month            ",170 m²
                        Room Middellandplein                            ,            3021 BV Rotterdam (Middelland)        ,                €530 per month            ,24 m²
                        Apartment Peppelweg 40 C                            ,            3052 GL Rotterdam (Schiebroek)        ,"                €1,150 per month            ",88 m²
                        Studio Hengelosestraat                            ,            7521 AL Enschede (Walhof-Roessingh)        ,                €550 per month            ,20 m²
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",270 m²
                        House Runstraat 24                            ,            5622 AZ Eindhoven (Kronehoef)        ,"                €1,850 per month            ",120 m²
                        Apartment De Regent                            ,            5611 HW Eindhoven (Witte Dame)        ,"                €1,900 per month            ",96 m²
                        Apartment Heilige Geeststraat 34                            ,            6041 GB Roermond (Binnenstad)        ,                €835 per month            ,74 m²
                        Apartment Ruysdaelkade 197 2                            ,            1072 AV Amsterdam (Nieuwe Pijp)        ,"                €1,995 per month            ",73 m²
                        Apartment Velperpoort 53                            ,            2152 RS Nieuw-Vennep (Nieuw-Vennep Getsewoud Noord)        ,"                €2,750 per month            ",114 m²
                        Apartment Valkenboskade 530                            ,            2563 JM Den Haag (Bloemenbuurt-Oost)        ,"                €1,750 per month            ",104 m²
                        Apartment Arend                            ,            2171 KN Sassenheim (Vliegeniersbuurt)        ,"                €1,175 per month            ",71 m²
                        Apartment Apothekersdijk                            ,            2312 DD Leiden (De Camp)        ,"                €1,150 per month            ",50 m²
                        House Koekoekstraat                            ,            2352 CT Leiderdorp (De Vogelwijk)        ,"                €1,325 per month            ",91 m²
                        Apartment Achterzeeweg 148                            ,            2201 EL Noordwijk (Kern Binnen Zuid)        ,"                €1,400 per month            ",58 m²
                        Studio Barndesteeg                            ,            1012 BV Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,500 per month            ",35 m²
                        Apartment Bleekweg                            ,            5611 EZ Eindhoven (Binnenstad)        ,"                €1,475 per month            ",50 m²
